kra17 kra79
14.2878 1.43495e-17 1.541e-17
14.3021 1.43642e-17 1.54251e-17
14.3164 1.43788e-17 1.54403e-17
14.3307 1.43935e-17 1.54555e-17
14.345 1.44083e-17 1.54707e-17
14.3594 1.4423e-17 1.54859e-17
14.3738 1.44377e-17 1.55011e-17
14.3881 1.44525e-17 1.55163e-17
14.4025 1.44673e-17 1.55316e-17
14.4169 1.4482e-17 1.55469e-17
14.4313 1.44968e-17 1.55621e-17
14.4458 1.45117e-17 1.55774e-17
14.4602 1.45265e-17 1.55928e-17
14.4747 1.45413e-17 1.56081e-17
14.4891 1.45562e-17 1.56234e-17
14.5036 1.45711e-17 1.56388e-17
14.5181 1.4586e-17 1.56542e-17
14.5327 1.46009e-17 1.56696e-17
14.5472 1.46158e-17 1.5685e-17
14.5617 1.46307e-17 1.57004e-17
14.5763 1.46457e-17 1.57158e-17
14.5909 1.46606e-17 1.57313e-17
14.6055 1.46756e-17 1.57468e-17
14.6201 1.46906e-17 1.57623e-17
14.6347 1.47056e-17 1.57778e-17
14.6493 1.47207e-17 1.57933e-17
14.664 1.47357e-17 1.58088e-17
14.6786 1.47508e-17 1.58244e-17
14.6933 1.47658e-17 1.58399e-17
14.708 1.47809e-17 1.58555e-17
14.7227 1.4796e-17 1.58711e-17
14.7374 1.48111e-17 1.58867e-17
14.7522 1.48263e-17 1.59023e-17
14.7669 1.48414e-17 1.5918e-17
14.7817 1.48566e-17 1.59337e-17
14.7965 1.48717e-17 1.59493e-17
14.8113 1.48869e-17 1.5965e-17
14.8261 1.49021e-17 1.59807e-17
14.8409 1.49174e-17 1.59965e-17
14.8558 1.49326e-17 1.60122e-17
14.8706 1.49478e-17 1.6028e-17
14.8855 1.49631e-17 1.60437e-17
14.9004 1.49784e-17 1.60595e-17
14.9153 1.49937e-17 1.60753e-17
14.9302 1.5009e-17 1.60911e-17
14.9451 1.50243e-17 1.6107e-17
14.9601 1.50397e-17 1.61228e-17
14.975 1.5055e-17 1.61387e-17
14.99 1.50704e-17 1.61546e-17
15.005 1.50858e-17 1.61705e-17
15.02 1.51012e-17 1.61864e-17
15.035 1.51166e-17 1.62023e-17
15.05 1.51321e-17 1.62183e-17
15.0651 1.51475e-17 1.62343e-17
15.0802 1.5163e-17 1.62502e-17
15.0952 1.51785e-17 1.62662e-17
15.1103 1.5194e-17 1.62823e-17
15.1254 1.52095e-17 1.62983e-17
15.1406 1.5225e-17 1.63143e-17
15.1557 1.52406e-17 1.63304e-17
15.1709 1.52561e-17 1.63465e-17
15.186 1.52717e-17 1.63626e-17
15.2012 1.52873e-17 1.63787e-17
15.2164 1.53029e-17 1.63948e-17
15.2316 1.53185e-17 1.6411e-17
15.2469 1.53342e-17 1.64271e-17
15.2621 1.53498e-17 1.64433e-17
15.2774 1.53655e-17 1.64595e-17
15.2927 1.53812e-17 1.64757e-17
15.3079 1.53969e-17 1.6492e-17
15.3233 1.54126e-17 1.65082e-17
15.3386 1.54283e-17 1.65245e-17
15.3539 1.54441e-17 1.65407e-17
15.3693 1.54598e-17 1.6557e-17
15.3846 1.54756e-17 1.65733e-17
15.4 1.54914e-17 1.65897e-17
15.4154 1.55072e-17 1.6606e-17
15.4308 1.5523e-17 1.66224e-17
15.4463 1.55389e-17 1.66388e-17
15.4617 1.55547e-17 1.66552e-17
15.4772 1.55706e-17 1.66716e-17
15.4927 1.55865e-17 1.6688e-17
15.5082 1.56024e-17 1.67044e-17
15.5237 1.56183e-17 1.67209e-17
15.5392 1.56343e-17 1.67374e-17
15.5547 1.56502e-17 1.67539e-17
15.5703 1.56662e-17 1.67704e-17
15.5858 1.56822e-17 1.67869e-17
15.6014 1.56982e-17 1.68035e-17
15.617 1.57142e-17 1.682e-17
15.6327 1.57302e-17 1.68366e-17
15.6483 1.57463e-17 1.68532e-17
15.6639 1.57623e-17 1.68698e-17
15.6796 1.57784e-17 1.68864e-17
15.6953 1.57945e-17 1.69031e-17
15.711 1.58106e-17 1.69197e-17
15.7267 1.58268e-17 1.69364e-17
15.7424 1.58429e-17 1.69531e-17
15.7582 1.58591e-17 1.69698e-17
15.7739 1.58753e-17 1.69866e-17
15.7897 1.58915e-17 1.70033e-17
15.8055 1.59077e-17 1.70201e-17
15.8213 1.59239e-17 1.70369e-17
15.8371 1.59401e-17 1.70537e-17
15.8529 1.59564e-17 1.70705e-17
15.8688 1.59727e-17 1.70873e-17
